指标	及格线60分数值	满分100分数值	计算函数
前静息平均值(μV)	4	0	LnX 
前静息变异性	0.2	0	LnX 
快肌纤维最大值(μV)	40	60	LnX 
快肌纤维上升时间(s)	0.5	0	LnX 
快肌纤维恢复时间(s)	0.5	0	LnX 
慢肌纤维平均值(μV)	35	50	LnX 
慢肌纤维上升时间(s)	1	0	LnX 
慢肌纤维恢复时间(s)	1	0	LnX 
慢肌纤维变异性	0.2	0	LnX 
耐力测试平均值(μV)	30	40	LnX 
耐力测试变异性	0.2	0	LnX 
耐力测试后10秒比值	0.8或1.2	1	高斯分布
后静息平均值(μV)	4	0	LnX 
后静息变异性	0.2	0	LnX 
