前静息平均值(μV)	8.46	5.34	6.27	5.22	108.37
前静息变异性	0.2	0.18	0.16	0.17	2.82
快肌纤维最大值(μV)	94.61	7.03	9.14	6.83	104.15
快肌纤维上升时间(s)	0.4	1.62	2	2	0.36
快肌纤维恢复时间(s)	0.18	3.22	4	4	0.13
慢肌纤维平均值(μV)	33.8	5.35	6.12	5.29	43.02
慢肌纤维上升时间(s)	0.15	2	2	2	2
慢肌纤维恢复时间(s)	0.49	4	4	4	4
慢肌纤维变异性	0.32	0.17	0.13	0.16	0.09
耐力测试平均值(μV)	32.84	10.45	6.2	5.29	40.66
耐力测试变异性	0.36	0.47	0.16	0.17	0.03
耐力测试后10秒比值	0.99	1.03	1.01	1	1.04
后静息平均值(μV)	8.82	10.36	6.23	5.29	104.25
后静息变异性	0.53	0.47	0.15	0.19	0.11
