训练课程	节次	课节序号	课节内容	训练类型	时长	频率	脉宽	上升时间	下降时间	工作时间	休息时间	是否变频	频率2	脉宽2	频率3	脉宽3	触发方式	阈值控制方式	阈值	重复课节编号
压力性尿失禁	第1节	309	肌肉放松	电刺激	17	100	200	2	1	10	10	N								2
压力性尿失禁	第1节	310	促血流	电刺激	8	5	200	1	1	4	6	N								1
压力性尿失禁	第2节	311	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第2节	312	肌肉放松	电刺激	17	100	200	2	1	10	10	N								2
压力性尿失禁	第2节	313	促血流	电刺激	8	5	200	1	1	4	6	N								1
压力性尿失禁	第3节	314	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第3节	315	肌肉放松	电刺激	17	100	200	2	1	10	10	N								2
压力性尿失禁	第3节	316	促血流	电刺激	8	5	200	1	1	4	6	N								1
压力性尿失禁	第4节	317	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第4节	318	本体感觉恢复	电刺激	25	50	400	1	1	8	5	N								
压力性尿失禁	第5节	319	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第5节	320	Ⅱ类肌高强度Ⅱ	电刺激	12	80	500	2	1	6	6	N								
压力性尿失禁	第5节	321	I类肌低强度I	电刺激	13	15	500	2	2	14	7	N								122
压力性尿失禁	第6节	322	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第6节	323	I类肌高强度IV	电刺激	17	30	350	2	2	10	10	N								11
压力性尿失禁	第6节	324	I类肌高强度I	触发电刺激	8	30	450	1	0	10	5	N					高于阈值	自动	未知	73
压力性尿失禁	第7节	325	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第7节	326	I类肌高强度IV	电刺激	17	30	350	2	2	10	10	N								11
压力性尿失禁	第7节	327	I类肌高强度I	触发电刺激	8	30	450	1	0	10	5	N					高于阈值	自动	未知	73
压力性尿失禁	第8节	328	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第8节	329	I类肌高强度Ⅲ	电刺激	8	30	450	2	2	10	10	N								
压力性尿失禁	第8节	330	Ⅱ类肌低强度I	电刺激	8	50	300	1	1	4	8	N								
压力性尿失禁	第8节	331	I类肌高强度I	触发电刺激	9	30	450	1	0	10	5	N					高于阈值	自动	未知	73
压力性尿失禁	第9节	332	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第9节	333	I类肌高强度Ⅲ	电刺激	3	30	450	2	2	10	10	N								329
压力性尿失禁	第9节	334	Ⅱ类肌低强度I	电刺激	8	50	300	1	1	4	8	N								330
压力性尿失禁	第9节	335	I类肌高强度I	触发电刺激	9	30	450	1	0	10	5	N					高于阈值	自动	未知	73
压力性尿失禁	第9节	336	I型肌初步训练	凯格尔训练	5															
压力性尿失禁	第10节	337	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第10节	338	I类肌高强度Ⅲ	电刺激	3	30	450	2	2	10	10	N								329
压力性尿失禁	第10节	339	Ⅱ类肌低强度I	电刺激	8	50	300	1	1	4	8	N								330
压力性尿失禁	第10节	340	I类肌高强度I	触发电刺激	9	30	450	1	0	10	5	N					高于阈值	自动	未知	73
压力性尿失禁	第10节	341	I型肌加强训练	凯格尔训练	5															
压力性尿失禁	第11节	342	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第11节	343	Ⅱ类肌中强度I	电刺激	5	60	250	1	1	4	8	N								251
压力性尿失禁	第11节	344	I型肌强化训练	凯格尔训练	15															
压力性尿失禁	第11节	345	Ⅱ型肌初步训练	凯格尔训练	5															
压力性尿失禁	第12节	346	快速收缩训练	凯格尔训练	5															
压力性尿失禁	第12节	347	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第12节	348	I类肌高强度I	触发电刺激	5	30	450	1	0	10	5	N					高于阈值	自动	未知	73
压力性尿失禁	第12节	349	混合肌初步训练	凯格尔训练	15															
压力性尿失禁	第13节	350	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第13节	351	I类肌高强度I	触发电刺激	5	30	450	1	0	10	5	N					高于阈值	自动	未知	73
压力性尿失禁	第13节	352	混合肌初步训练	凯格尔训练	10															
压力性尿失禁	第13节	353	混合肌增强训练	凯格尔训练	10															
压力性尿失禁	第14节	354	混合肌初步训练	凯格尔训练	15															
压力性尿失禁	第14节	355	A3反射训练	凯格尔训练	15															
压力性尿失禁	第15节	356	混合肌初步训练	凯格尔训练	15															
压力性尿失禁	第15节	357	饥饿鲨鱼	游戏互动	15															
压力性尿失禁	第16节	358	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第16节	359	I类肌高强度I	触发电刺激	10	30	450	1	0	10	5	N					高于阈值	自动	未知	73
压力性尿失禁	第16节	360	饥饿鲨鱼	游戏互动	15															
压力性尿失禁	第17节	361	促血流	电刺激	5	5	200	1	1	4	6	N								1
压力性尿失禁	第17节	362	I类肌高强度I	触发电刺激	5	30	450	1	0	10	5	N					高于阈值	自动	未知	73
压力性尿失禁	第17节	363	A3反射训练	凯格尔训练	10															
压力性尿失禁	第17节	364	饥饿鲨鱼	游戏互动	10															
压力性尿失禁	第18节	365	A3反射训练	凯格尔训练	15															
压力性尿失禁	第18节	366	饥饿鲨鱼	游戏互动	15															
急迫性尿失禁	第1节	367	肌肉放松	电刺激	20	100	200	2	1	10	10	N								2
急迫性尿失禁	第1节	368	促血流	电刺激	5	5	200	1	1	4	6	N								1
急迫性尿失禁	第1节	369	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	第2节	370	肌肉放松	电刺激	20	100	200	2	1	10	10	N								2
急迫性尿失禁	第2节	371	促血流	电刺激	5	5	200	1	1	4	6	N								1
急迫性尿失禁	第2节	372	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	第3节	373	肌肉放松	电刺激	20	100	200	2	1	10	10	N								2
急迫性尿失禁	第3节	374	促血流	电刺激	5	5	200	1	1	4	6	N								1
急迫性尿失禁	第3节	375	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第4节	376	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第4节	377	逼尿肌过度活动抑制高强度	电刺激	10	10	100	0	0	20	2	Y	5	500	10	200				
急迫性尿失禁	 第4节	378	逼尿肌收缩抑制	电刺激	10	20	150	0	0	20	2	N								
急迫性尿失禁	 第4节	379	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第5节	380	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第5节	381	逼尿肌过度活动抑制高强度	电刺激	10	10	100	0	0	20	2	Y	5	500	10	200				377
急迫性尿失禁	 第5节	382	逼尿肌收缩抑制	电刺激	10	20	150	0	0	20	2	N								378
急迫性尿失禁	 第5节	383	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第6节	384	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第6节	385	逼尿肌过度活动抑制高强度	电刺激	10	10	100	0	0	20	2	Y	5	500	10	200				377
急迫性尿失禁	 第6节	386	逼尿肌收缩抑制	电刺激	10	20	150	0	0	20	2	N								378
急迫性尿失禁	 第6节	387	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第7节	388	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第7节	389	逼尿肌过度活动抑制高强度	电刺激	10	10	100	0	0	20	2	Y	5	500	10	200				377
急迫性尿失禁	 第7节	390	逼尿肌收缩抑制	电刺激	10	20	150	0	0	20	2	N								378
急迫性尿失禁	 第7节	391	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第8节	392	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第8节	393	逼尿肌过度活动抑制高强度	电刺激	10	10	100	0	0	20	2	Y	5	500	10	200				377
急迫性尿失禁	 第8节	394	逼尿肌收缩抑制	电刺激	10	20	150	0	0	20	2	N								378
急迫性尿失禁	 第8节	395	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第9节	396	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第9节	397	逼尿肌过度活动抑制高强度	电刺激	10	10	100	0	0	20	2	Y	5	500	10	200				377
急迫性尿失禁	 第9节	398	逼尿肌收缩抑制	电刺激	10	20	150	0	0	20	2	N								378
急迫性尿失禁	 第9节	399	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第10节	400	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第10节	401	本体感觉恢复	电刺激	20	50	200	1	1	8	5	N								
急迫性尿失禁	 第10节	402	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第11节	403	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第11节	404	I类肌高强度Ⅲ	电刺激	15	30	250	2	2	10	10	N								
急迫性尿失禁	 第11节	405	I类肌高强度I	触发电刺激	5	30	250	1	0	10	5	N					高于阈值	自动	未知	
急迫性尿失禁	 第11节	406	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第12节	407	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第12节	408	II类肌低强度I	电刺激	15	50	100	1	1	4	8	N								
急迫性尿失禁	 第12节	409	II类肌低强度I	触发电刺激	5	50	100	1	1	10	5	N					高于阈值	自动	未知	
急迫性尿失禁	 第12节	410	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第13节	411	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第13节	412	I类肌高强度Ⅲ	电刺激	15	30	250	2	2	10	10	N								404
急迫性尿失禁	 第13节	413	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第13节	414	I型肌初步训练	凯格尔训练	5															
急迫性尿失禁	 第14节	415	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第14节	416	II类肌低强度I	电刺激	10	50	100	1	1	4	8	N								408
急迫性尿失禁	 第14节	417	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第14节	418	Ⅱ型肌初步训练	凯格尔训练	10															
急迫性尿失禁	 第15节	419	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第15节	420	混合电刺激I	电刺激	15	15	600	2	1	5	5	Y	50	600	15	700				
急迫性尿失禁	 第15节	421	I类肌高强度I	触发电刺激	5	30	250	1	0	10	5	N					高于阈值	自动	未知	405
急迫性尿失禁	 第15节	422	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
急迫性尿失禁	 第16节	423	混合电刺激I	电刺激	10	15	600	2	1	5	5	Y	50	600	15	700				420
急迫性尿失禁	 第16节	424	混合肌初步训练	凯格尔训练	10															
急迫性尿失禁	 第16节	425	混合肌增强训练	凯格尔训练	10															
急迫性尿失禁	 第17节	426	A3反射训练	凯格尔训练	15															
急迫性尿失禁	 第17节	427	饥饿鲨鱼	游戏互动	15															
急迫性尿失禁	 第18节	428	腹部-会阴部协调训练	凯格尔训练	15															
急迫性尿失禁	 第18节	429	饥饿鲨鱼	游戏互动	15															
混合性尿失禁	第1节	430	肌肉放松	电刺激	20	100	200	2	1	10	10	N								2
混合性尿失禁	第1节	431	促血流	电刺激	5	5	200	1	1	4	6	N								1
混合性尿失禁	第1节	432	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	第2节	433	肌肉放松	电刺激	20	100	200	2	1	10	10	N								2
混合性尿失禁	第2节	434	促血流	电刺激	5	5	200	1	1	4	6	N								1
混合性尿失禁	第2节	435	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	第3节	436	肌肉放松	电刺激	20	100	200	2	1	10	10	N								2
混合性尿失禁	第3节	437	促血流	电刺激	5	5	200	1	1	4	6	N								1
混合性尿失禁	第3节	438	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第4节	439	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第4节	440	逼尿肌过度活动抑制高强度	电刺激	20	10	100	0	0	5	10	N								
混合性尿失禁	 第4节	441	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第5节	442	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第5节	443	逼尿肌过度活动抑制高强度	电刺激	20	10	100	0	0	5	10	N								440
混合性尿失禁	 第5节	444	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第6节	445	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第6节	446	逼尿肌过度活动抑制高强度	电刺激	10	10	100	0	0	5	10	N								440
混合性尿失禁	 第6节	447	I类肌中强度Ⅱ	触发电刺激	10	20	200	1	0	10	5	N					高于阈值	自动	未知	
混合性尿失禁	 第6节	448	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第7节	449	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第7节	450	逼尿肌过度活动抑制高强度	电刺激	6	10	100	0	0	5	10	N								440
混合性尿失禁	 第7节	451	I类肌高强度I	触发电刺激	6	30	250	1	0	10	5	N					高于阈值	自动	未知	405
混合性尿失禁	 第7节	452	I类肌高强度Ⅳ	电刺激	8	30	300	2	2	10	10	N								
混合性尿失禁	 第7节	453	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第8节	454	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第8节	455	I类肌高强度Ⅳ	电刺激	15	30	300	2	2	10	10	N								452
混合性尿失禁	 第8节	456	I类肌高强度I	触发电刺激	5	30	250	1	0	10	5	N					高于阈值	自动	未知	405
混合性尿失禁	 第8节	457	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第9节	458	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第9节	459	I类肌高强度Ⅲ	电刺激	6	30	250	2	2	10	10	N								404
混合性尿失禁	 第9节	460	II类肌低强度I	电刺激	6	50	100	1	1	4	8	N								408
混合性尿失禁	 第9节	461	I类肌高强度I	触发电刺激	8	30	250	1	0	10	5	N					高于阈值	自动	未知	405
混合性尿失禁	 第9节	462	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第10节	463	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第10节	464	I类肌高强度Ⅲ	电刺激	2	30	250	2	2	10	10	N								404
混合性尿失禁	 第10节	465	II类肌低强度I	电刺激	6	50	100	1	1	4	8	N								408
混合性尿失禁	 第10节	466	I类肌高强度I	触发电刺激	7	30	250	1	0	10	5	N					高于阈值	自动	未知	405
混合性尿失禁	 第10节	467	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第10节	468	I型肌加强训练	凯格尔训练	5															
混合性尿失禁	 第11节	469	II类肌中强度I	电刺激	10	60	100	1	1	4	8	N								
混合性尿失禁	 第11节	470	I型肌强化训练	凯格尔训练	15															
混合性尿失禁	 第11节	471	Ⅱ型肌初步训练	凯格尔训练	5															
混合性尿失禁	 第12节	472	快速收缩训练	凯格尔训练	5															
混合性尿失禁	 第12节	473	I类肌高强度I	触发电刺激	15	30	250	1	0	10	5	N					高于阈值	自动	未知	405
混合性尿失禁	 第12节	474	混合肌初步训练	凯格尔训练	10															
混合性尿失禁	 第13节	475	I类肌高强度I	触发电刺激	10	30	250	1	0	10	5	N					高于阈值	自动	未知	405
混合性尿失禁	 第13节	476	混合肌初步训练	凯格尔训练	10															
混合性尿失禁	 第13节	477	混合肌增强训练	凯格尔训练	10															
混合性尿失禁	 第14节	478	混合肌初步训练	凯格尔训练	15															
混合性尿失禁	 第14节	479	A3反射训练	凯格尔训练	15															
混合性尿失禁	 第15节	480	混合肌初步训练	凯格尔训练	20															
混合性尿失禁	 第15节	481	饥饿鲨鱼	游戏互动	10															
混合性尿失禁	 第16节	482	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第16节	483	I类肌高强度I	触发电刺激	5	30	250	1	0	10	5	N					高于阈值	自动	未知	405
混合性尿失禁	 第16节	484	肌肉放松	电刺激	5	100	200	2	1	10	10	N								2
混合性尿失禁	 第16节	485	饥饿鲨鱼	游戏互动	15															
混合性尿失禁	 第17节	486	I类肌高强度I	触发电刺激	10	30	250	1	0	10	5	N					高于阈值	自动	未知	405
混合性尿失禁	 第17节	487	A3反射训练	凯格尔训练	10															
混合性尿失禁	 第17节	488	饥饿鲨鱼	游戏互动	10															
混合性尿失禁	 第18节	489	A3反射训练	凯格尔训练	15															
混合性尿失禁	 第18节	490	饥饿鲨鱼	游戏互动	15															
盆腔脏器脱垂	第1节	491	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第1节	492	肌肉放松	电刺激	17	100	200	2	1	10	10	N								2
盆腔脏器脱垂	第1节	493	促血流	电刺激	8	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第2节	494	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第2节	495	肌肉放松	电刺激	17	100	200	2	1	10	10	N								2
盆腔脏器脱垂	第2节	496	促血流	电刺激	8	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第3节	497	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第3节	498	肌肉放松	电刺激	17	100	200	2	1	10	10	N								2
盆腔脏器脱垂	第3节	499	促血流	电刺激	8	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第4节	500	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第4节	501	Ⅱ类肌高强度Ⅱ	电刺激	12	80	350	2	1	6	6	N								
盆腔脏器脱垂	第4节	502	I类肌低强度I	电刺激	13	15	350	2	2	14	7	N								
盆腔脏器脱垂	第5节	503	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第5节	504	Ⅱ类肌高强度Ⅱ	电刺激	12	80	350	2	1	6	6	N								501
盆腔脏器脱垂	第5节	505	I类肌低强度I	电刺激	13	15	350	2	2	14	7	N								502
盆腔脏器脱垂	第6节	506	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第6节	507	I类肌高强度IV	电刺激	17	30	350	2	2	10	10	N								11
盆腔脏器脱垂	第6节	508	I类肌高强度I	触发电刺激	8	30	300	1	0	10	5	N					高于阈值	自动	未知	16
盆腔脏器脱垂	第7节	509	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第7节	510	I类肌高强度IV	电刺激	17	30	350	2	2	10	10	N								11
盆腔脏器脱垂	第7节	511	I类肌高强度I	触发电刺激	8	30	300	1	0	10	5	N					高于阈值	自动	未知	16
盆腔脏器脱垂	第8节	512	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第8节	513	I类肌高强度IV	电刺激	7	30	350	2	2	10	10	N								11
盆腔脏器脱垂	第8节	514	I类肌高强度I	触发电刺激	8	30	300	1	0	10	5	N					高于阈值	自动	未知	16
盆腔脏器脱垂	第8节	515	I型肌初步训练	凯格尔训练	10															
盆腔脏器脱垂	第9节	516	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第9节	517	I类肌高强度IV	电刺激	7	30	350	2	2	10	10	N								11
盆腔脏器脱垂	第9节	518	I类肌高强度I	触发电刺激	8	30	300	1	0	10	5	N					高于阈值	自动	未知	16
盆腔脏器脱垂	第9节	519	I型肌初步训练	凯格尔训练	10															
盆腔脏器脱垂	第10节	520	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第10节	521	I类肌高强度IV	电刺激	7	30	350	2	2	10	10	N								11
盆腔脏器脱垂	第10节	522	I类肌高强度I	触发电刺激	8	30	300	1	0	10	5	N					高于阈值	自动	未知	16
盆腔脏器脱垂	第10节	523	I型肌加强训练	凯格尔训练	10															
盆腔脏器脱垂	第11节	524	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	第11节	525	I类肌高强度IV	电刺激	7	30	350	2	2	10	10	N								11
盆腔脏器脱垂	第11节	526	I类肌高强度I	触发电刺激	8	30	300	1	0	10	5	N					高于阈值	自动	未知	16
盆腔脏器脱垂	第11节	527	I型肌加强训练	凯格尔训练	10															
盆腔脏器脱垂	 第12节 	528	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	 第12节 	529	I类肌高强度I	触发电刺激	7	30	300	1	0	10	5	N					高于阈值	自动	未知	16
盆腔脏器脱垂	 第12节 	530	I型肌强化训练	凯格尔训练	10															
盆腔脏器脱垂	 第12节 	531	II类肌低强度I	电刺激	8	50	150	1	1	4	8	N								
盆腔脏器脱垂	 第13节 	532	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	 第13节 	533	II类肌中强度I	电刺激	5	60	100	1	1	4	8	N								469
盆腔脏器脱垂	 第13节 	534	I型肌强化训练	凯格尔训练	15															
盆腔脏器脱垂	 第13节 	535	Ⅱ型肌初步训练	凯格尔训练	5															
盆腔脏器脱垂	 第14节 	536	促血流	电刺激	5	5	200	1	1	4	6	N								1
盆腔脏器脱垂	 第14节 	537	I类肌高强度I	触发电刺激	5	30	300	1	0	10	5	N					高于阈值	自动	未知	16
盆腔脏器脱垂	 第14节 	538	混合肌初步训练	凯格尔训练	10															
盆腔脏器脱垂	 第14节 	539	混合肌增强训练	凯格尔训练	10															
盆腔脏器脱垂	 第15节 	540	快速收缩训练	凯格尔训练	15															
盆腔脏器脱垂	 第15节 	541	饥饿鲨鱼	游戏互动	15															
盆腔脏器脱垂	 第16节 	542	混合肌增强训练	凯格尔训练	15															
盆腔脏器脱垂	 第16节 	543	饥饿鲨鱼	游戏互动	15															
盆腔脏器脱垂	 第17节 	544	渐进控制收缩训练	凯格尔训练	15															
盆腔脏器脱垂	 第17节 	545	饥饿鲨鱼	游戏互动	15															
盆腔脏器脱垂	 第18节 	546	混合肌初步训练	凯格尔训练	10															
盆腔脏器脱垂	 第18节 	547	盆底肌功能协调性训练	凯格尔训练	10															
盆腔脏器脱垂	 第18节 	548	饥饿鲨鱼	游戏互动	10															
便秘(低张型)	 第1节  	549	增强敏感性	电刺激	30	50	300	2	1	10	10	N								
便秘(低张型)	 第2节  	550	增强敏感性	电刺激	30	50	300	2	1	10	10	N								549
便秘(低张型)	 第3节  	551	增强敏感性	电刺激	15	50	300	2	1	10	10	N								549
便秘(低张型)	 第3节  	552	I类肌中强度Ⅱ	电刺激	15	20	400	2	1	5	5	N								
便秘(低张型)	 第4节  	553	增强敏感性	电刺激	15	50	300	2	1	10	10	N								549
便秘(低张型)	 第4节  	554	I类肌中强度Ⅱ	电刺激	15	20	400	2	1	5	5	N								551
便秘(低张型)	 第5节  	555	增强兴奋性Ⅱ	电刺激	10	40	500	2	1	10	10	N								
便秘(低张型)	 第5节  	556	I类肌高强度Ⅳ	电刺激	10	30	500	2	2	10	10	N								
便秘(低张型)	 第5节  	557	I类肌高强度I	触发电刺激	10	30	450	1	0	10	5	N					高于阈值	自动	未知	73
便秘(低张型)	 第6节  	558	增强兴奋性Ⅱ	电刺激	10	40	500	2	1	10	10	N								555
便秘(低张型)	 第6节  	559	I类肌高强度Ⅳ	电刺激	10	30	500	2	2	10	10	N								556
便秘(低张型)	 第6节  	560	I类肌高强度I	触发电刺激	10	30	450	1	0	10	5	N					高于阈值	自动	未知	73
便秘(低张型)	 第7节  	561	I类肌高强度Ⅳ	电刺激	5	30	500	2	2	10	10	N								556
便秘(低张型)	 第7节  	562	II类肌低强度I	电刺激	5	50	300	1	1	4	8	N								128
便秘(低张型)	 第7节  	563	I类肌高强度I	触发电刺激	10	30	450	1	0	10	5	N					高于阈值	自动	未知	73
便秘(低张型)	 第7节  	564	I型肌初步训练	凯格尔训练	5															
便秘(低张型)	 第7节  	565	I型肌加强训练	凯格尔训练	5															
便秘(低张型)	 第8节  	566	I类肌高强度Ⅳ	电刺激	5	30	500	2	2	10	10	N								556
便秘(低张型)	 第8节  	567	II类肌低强度I	电刺激	5	50	300	1	1	4	8	N								128
便秘(低张型)	 第8节  	568	I类肌高强度I	触发电刺激	10	30	450	1	0	10	5	N					高于阈值	自动	未知	73
便秘(低张型)	 第8节  	569	I型肌初步训练	凯格尔训练	5															
便秘(低张型)	 第8节  	570	I型肌加强训练	凯格尔训练	5															
便秘(低张型)	 第9节  	571	I类肌高强度Ⅳ	电刺激	5	30	500	2	2	10	10	N								556
便秘(低张型)	 第9节  	572	II类肌低强度I	电刺激	5	50	300	1	1	4	8	N								128
便秘(低张型)	 第9节  	573	增强兴奋性	触发电刺激	10	40	400	1	0	10	5	N					高于阈值	自动	未知	
便秘(低张型)	 第9节  	574	I型肌加强训练	凯格尔训练	5															
便秘(低张型)	 第9节  	575	I型肌强化训练	凯格尔训练	5															
便秘(低张型)	 第10节 	576	增强兴奋性I	电刺激	5	40	400	2	1	10	10	N								
便秘(低张型)	 第10节 	577	II类肌低强度I	电刺激	5	50	300	1	1	4	8	N								128
便秘(低张型)	 第10节 	578	I类肌高强度I	触发电刺激	10	30	450	1	0	10	5	N					高于阈值	自动	未知	73
便秘(低张型)	 第10节 	579	I型肌强化训练	凯格尔训练	5															
便秘(低张型)	 第10节 	580	Ⅱ型肌初步训练	凯格尔训练	5															
便秘(低张型)	 第11节 	581	增强兴奋性I	电刺激	5	40	400	2	1	10	10	N								576
便秘(低张型)	 第11节 	582	II类肌低强度I	电刺激	5	50	300	1	1	4	8	N								128
便秘(低张型)	 第11节 	583	I类肌高强度I	触发电刺激	10	30	450	1	0	10	5	N					高于阈值	自动	未知	73
便秘(低张型)	 第11节 	584	I型肌强化训练	凯格尔训练	5															
便秘(低张型)	 第11节 	585	Ⅱ型肌初步训练	凯格尔训练	5															
便秘(低张型)	 第12节 	586	II类肌低强度I	电刺激	5	50	300	1	1	4	8	N								128
便秘(低张型)	 第12节 	587	I类肌中强度Ⅱ	触发电刺激	10	20	400	1	0	10	5	N					高于阈值	自动	未知	
便秘(低张型)	 第12节 	588	I型肌强化训练	凯格尔训练	15															
便秘(低张型)	 第13节 	589	II类肌低强度I	电刺激	5	50	300	1	1	4	8	N								128
便秘(低张型)	 第13节 	590	I类肌中强度Ⅱ	触发电刺激	10	20	400	1	0	10	5	N					高于阈值	自动	未知	587
便秘(低张型)	 第13节 	591	Ⅱ型肌初步训练	凯格尔训练	5															
便秘(低张型)	 第13节 	592	饥饿鲨鱼	游戏互动	10															
便秘(低张型)	 第14节 	593	I类肌高强度I	触发电刺激	10	30	450	1	0	10	5	N					高于阈值	自动	未知	73
便秘(低张型)	 第14节 	594	A3反射训练	凯格尔训练	10															
便秘(低张型)	 第14节 	595	饥饿鲨鱼	游戏互动	10															
便秘(低张型)	 第15节 	596	I类肌高强度I	触发电刺激	10	30	450	1	0	10	5	N					高于阈值	自动	未知	73
便秘(低张型)	 第15节 	597	A3反射训练	凯格尔训练	10															
便秘(低张型)	 第15节 	598	饥饿鲨鱼	游戏互动	10															
便秘(高张型)	 第1节  	599	肌肉放松	电刺激	20	100	200	2	1	10	10	N								2
便秘(高张型)	 第1节  	600	促血流	电刺激	10	5	200	1	1	4	6	N								1
